
Label_0:
(1489, 1044)
(1524, 1044)
(1563, 1044)
(1618, 1044)
(1662, 1058)
(1707, 1073)
(1741, 1078)
(1756, 1083)
(1771, 1088)
(1781, 1093)
(1786, 1098)
(1796, 1103)
(1801, 1108)
(1806, 1113)
(1811, 1118)
(1816, 1123)
(1821, 1133)
(1825, 1143)
(1835, 1157)
(1840, 1172)
(1845, 1187)
(1845, 1192)
(1845, 1207)
(1845, 1212)
(1845, 1217)
(1850, 1222)
(1850, 1227)
(1850, 1237)
(1850, 1242)
(1850, 1247)
(1845, 1261)
(1840, 1266)
(1835, 1276)
(1830, 1291)
(1825, 1301)
(1821, 1306)
(1816, 1316)
(1806, 1326)
(1801, 1331)
(1796, 1336)
(1791, 1341)
(1786, 1345)
(1781, 1350)
(1766, 1355)
(1751, 1365)
(1736, 1370)
(1727, 1370)
(1717, 1375)
(1712, 1375)
(1702, 1380)
(1697, 1380)
(1682, 1380)
(1667, 1385)
(1662, 1390)
(1657, 1390)
(1652, 1390)
(1647, 1390)
(1637, 1390)
(1632, 1390)
(1628, 1390)
(1623, 1390)
(1618, 1390)
(1613, 1390)
(1489, 1044)

Label_1:
(1860, 826)
(1885, 811)
(1915, 806)
(1929, 806)
(1944, 806)
(1954, 801)
(1964, 801)
(1974, 801)
(1984, 801)
(1994, 796)
(2009, 796)
(2028, 796)
(2058, 796)
(2088, 796)
(2127, 796)
(2162, 796)
(2187, 796)
(2207, 796)
(2221, 796)
(2231, 796)
(2246, 796)
(2261, 806)
(2276, 816)
(2286, 821)
(2301, 831)
(2320, 846)
(2335, 856)
(2355, 865)
(2375, 875)
(2395, 895)
(2414, 905)
(2429, 915)
(2434, 920)
(2444, 930)
(2449, 935)
(2454, 940)
(2459, 950)
(2464, 955)
(2469, 960)
(2474, 964)
(2484, 979)
(2489, 989)
(2494, 999)
(2498, 1014)
(2508, 1029)
(2513, 1049)
(2518, 1063)
(2523, 1078)
(2523, 1088)
(2528, 1098)
(2528, 1103)
(2528, 1113)
(2528, 1123)
(2528, 1128)
(2528, 1133)
(2528, 1138)
(2528, 1148)
(2523, 1162)
(2518, 1167)
(2508, 1182)
(2494, 1197)
(2474, 1212)
(2459, 1222)
(2444, 1237)
(2419, 1247)
(2400, 1256)
(2375, 1261)
(2350, 1276)
(2330, 1281)
(2305, 1286)
(2286, 1291)
(2261, 1296)
(2246, 1301)
(2231, 1301)
(2216, 1306)
(2202, 1306)
(2187, 1306)
(2177, 1306)
(2162, 1306)
(2152, 1306)
(2142, 1306)
(2132, 1306)
(2112, 1301)
(2093, 1296)
(2083, 1291)
(2073, 1286)
(2063, 1286)
(2048, 1281)
(2043, 1276)
(2038, 1271)
(2018, 1256)
(2004, 1242)
(1979, 1217)
(1959, 1187)
(1949, 1167)
(1934, 1143)
(1924, 1128)
(1915, 1103)
(1905, 1078)
(1900, 1063)
(1890, 1044)
(1885, 1019)
(1880, 1009)
(1875, 989)
(1875, 974)
(1870, 960)
(1870, 950)
(1870, 940)
(1875, 925)
(1875, 920)
(1880, 910)
(1880, 905)
(1885, 900)
(1885, 895)
(1890, 890)
(1860, 826)

Label_2:
(2657, 1268)
(2672, 1268)
(2688, 1268)
(2763, 1268)
(2839, 1298)
(2869, 1328)
(2899, 1344)
(2914, 1359)
(2929, 1374)
(2944, 1389)
(2959, 1404)
(2974, 1419)
(2974, 1434)
(2990, 1464)
(2990, 1479)
(3005, 1495)
(3005, 1525)
(3005, 1540)
(3020, 1570)
(3020, 1585)
(3020, 1600)
(3020, 1615)
(3020, 1646)
(3020, 1661)
(3020, 1676)
(3020, 1691)
(3020, 1706)
(3020, 1721)
(3020, 1736)
(3020, 1751)
(3020, 1766)
(3005, 1797)
(2990, 1812)
(2974, 1827)
(2959, 1842)
(2944, 1857)
(2929, 1872)
(2914, 1872)
(2899, 1887)
(2869, 1887)
(2854, 1902)
(2823, 1917)
(2793, 1917)
(2763, 1932)
(2748, 1932)
(2733, 1932)
(2718, 1932)
(2703, 1932)
(2672, 1932)
(2657, 1932)
(2642, 1932)
(2627, 1932)
(2612, 1932)
(2597, 1932)
(2582, 1932)
(2567, 1932)
(2552, 1932)
(2521, 1917)
(2506, 1902)
(2491, 1887)
(2476, 1872)
(2461, 1857)
(2461, 1827)
(2461, 1812)
(2461, 1797)
(2461, 1766)
(2446, 1751)
(2446, 1721)
(2446, 1706)
(2431, 1691)
(2431, 1676)
(2431, 1661)
(2431, 1646)
(2431, 1615)
(2431, 1600)
(2431, 1570)
(2431, 1540)
(2431, 1525)
(2431, 1510)
(2446, 1495)
(2461, 1464)
(2476, 1449)
(2491, 1419)
(2506, 1404)
(2537, 1374)
(2552, 1359)
(2567, 1344)
(2597, 1328)
(2612, 1313)
(2642, 1298)
(2657, 1298)
(2657, 1268)

Label_3:
(2730, 1084)
(2732, 1084)
(2737, 1084)
(2745, 1084)
(2750, 1086)
(2754, 1087)
(2757, 1088)
(2759, 1089)
(2761, 1090)
(2764, 1091)
(2766, 1092)
(2768, 1093)
(2771, 1095)
(2774, 1097)
(2775, 1098)
(2777, 1101)
(2778, 1102)
(2780, 1104)
(2781, 1104)
(2782, 1106)
(2783, 1107)
(2783, 1108)
(2784, 1112)
(2785, 1113)
(2786, 1116)
(2787, 1120)
(2787, 1122)
(2787, 1124)
(2788, 1128)
(2789, 1131)
(2789, 1137)
(2789, 1141)
(2789, 1146)
(2789, 1150)
(2789, 1154)
(2787, 1159)
(2786, 1163)
(2784, 1167)
(2782, 1170)
(2779, 1173)
(2778, 1174)
(2776, 1177)
(2772, 1180)
(2767, 1182)
(2761, 1184)
(2758, 1185)
(2752, 1187)
(2748, 1188)
(2742, 1189)
(2737, 1189)
(2732, 1189)
(2727, 1189)
(2723, 1189)
(2719, 1189)
(2717, 1189)
(2715, 1189)
(2711, 1187)
(2709, 1187)
(2706, 1185)
(2702, 1184)
(2700, 1183)
(2696, 1181)
(2693, 1179)
(2692, 1177)
(2689, 1175)
(2688, 1174)
(2685, 1172)
(2682, 1169)
(2680, 1166)
(2678, 1163)
(2676, 1159)
(2675, 1156)
(2674, 1153)
(2673, 1151)
(2673, 1148)
(2672, 1146)
(2672, 1142)
(2672, 1140)
(2671, 1138)
(2671, 1135)
(2670, 1133)
(2670, 1130)
(2670, 1128)
(2670, 1125)
(2670, 1122)
(2672, 1119)
(2673, 1117)
(2674, 1115)
(2675, 1113)
(2677, 1111)
(2678, 1109)
(2680, 1107)
(2681, 1106)
(2682, 1106)
(2684, 1105)
(2685, 1103)
